SERIES,ORDERED,RECEVIED ,BALANCE,MODEL NAME,COLOR,MSRP,CUSTOMER NAME,CN2,CN3,CN4,CN5,CN6
FREESTYLE,,,,MODEL NAME,COLOR,MSRP,CUSTOMER NAME,,,,,
SJ1050-Y,2,,,SUPERJET,WHITE,"$10,499 ",1-,2-,,,,
JB1050-Y,5,,,JET BLASTER,BLACK/ACID GREEN,"$10,699 ",1-,2-,3-,4-,5-,
,,,,,,,,,,,,
EX SERIES,,,,MODEL NAME,COLOR,MSRP,CUSTOMER NAME,,,,,
EX1050D-Y,5,,,EX LIMITED ,AZURE BLUE/CYAN,"$10,599 ",1-,2-,3-,4-,5-,
EX1050A-YA,2,,,EX DELUXE,CYAN/LIME YELLOW,"$9,999 ",1-,2-,,,,
EX1050A-YB,2,,,EX DELUXE,WHITE/TORCH RED,"$9,999 ",1-,2-,,,,
EX1050B-YA,1,,,EX SPORT,LIME YELLOW/WHITE,"$8,899 ",1-,,,,,
EX1050B-YB,1,,,EX SPORT,CYAN,"$8,899 ",1-,,,,,
EX1050C-Y,2,,,EX,WHITE/AZURE BLUE,"$7,599 ",1-,2-,,,,
,,,,,,,,,,,,
VX SERIES,,,,MODEL NAME,COLOR,MSRP,CUSTOMER NAME,,,,,
VX1800A-Y,10,,,VX LIMITED HO,AZURE BLUE/WHITE,"$14,999 ",1- ,2-,3-,4-,5-,6-
,,,,,,,7-,8-,9-,10-,,
VX1800B-YA,11,,,VX CRUISER HO W/AUDIO,WHITE,"$14,099 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,9-,,,
VX1800B-YB,7,,,VX CRUISER HO W/AUDIO,LIME YELLOW,"$14,099 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,9-,,,
VX1800C-YA,2,,,VX CRUISER HO,WHITE,"$13,299 ",1-,2-,,,,
VX1800C-YB,2,,,VX CRUISER HO,LIME YELLOW,"$13,299 ",1-,2-,,,,
,,,,,,,,,,,,
VX1050A-Y,8,,,VX LIMITED,AZURE BLUE/WHITE,"$13,699 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,,,,
VX1050B-YA,8,,,VX CRUISER W/ AUDIO,CYAN/LIME YELLOW,"$13,199 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,,,,
VX1050B-YB,8,,,VX CRUISER W/AUDIO,CARBON/TITAN GRAY,"$13,199 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,,,,
VX1050C-YA,1,,,VX CRUISER,CYAN/LIME YELLOW,"$12,499 ",1-,,,,,
VX1050C-YB,2,,,VX CRUISER,CARBON/TITAN GRAY,"$12,499 ",1-,2-,,,,
VX1050D-YA,8,,,VX DELUXE W/ AUDIO,TORCH RED/CARBON,"$12,999 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,,,,
VX1050D-YB,7,,,VX DELUXE W/AUDIO,WHITE/TITAN GRAY,"$12,999 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,,,,,
VX1050E-YA,2,,,VX DELUXE,TORCH RED/CARBON,"$12,099 ",1-,2-,,,,
VX1050E-YB,2,,,VX DELUXE,WHITE/TITAN GRAY,"$12,099 ",1-,2-,,,,
,,,,,,,,,,,,
FX SERIES,,,,MODEL NAME,COLOR,MSRP,CUSTOMER NAME,,,,,
FX1800A-Y,20,,,FX LIMITED SVHO,CARBON/MINT,"$19,999 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,9-,10-,11-,12-
,,,,,,,13-,14-,15-,16-,17-,18-
,,,,,,,19-,20-,,,,
,,,,,,,,,,,,
FX1800B-YA,6,,,FX CRUISER SVHO W/AUDIO,TORCH RED,"$19,399 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,,,,
FX1800B-YB,10,,,FX CRUISER SVHO W/AUDIO,BLACK/TITAN GRAY,"$19,399 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,,,,
FX1800D-Y,6,,,FX SVHO W/AUDIO,BLACK,"$18,899 ",1-,2-,3-,4-,5-,6-
FX1800F-YA,7,,,FX CRUISER HO W/AUDIO,CARBON/TITAN GRAY,"$16,699 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,8-,,,,
FX1800F-YB,7,,,FX CRUISER HO W/AUDIO,CYAN,"$16,699 ",1-,2-,3-,4-,5-,6-
,,,,,,,7-,,,,,
FX1800H-Y,6,,,FX HO W/AUDIO,AZURE BLUE/WHITE,"$16,199 ",1-,2-,3-,4-,5-,6-
FX1800J-Y,2,,,FX HO,AZURE BLUE/WHITE,"$15,399 ",1-,2-,,,,
,,,,,,,,,,,,
GP SERIES,,,,MODEL NAME,COLOR,MSRP,CUSTOMER NAME,,,,,
GP1800C-YA,4,,,GP1800R SVHO W/AUDIO,AZURE BLUE,"$17,299 ",1-,2-,3-,4-,,
GP1800C-YB,4,,,GP1800R SVHO W/AUDIO,BLACK/ACID GREEN,"$17,299 ",1-,2-,3-,4-,,
GP1800A-YA,2,,,GP1800R SVHO,AZURE BLUE,"$16,499 ",1-,2-,,,,
GP1800A-YB,2,,,GP1800R SVHO,BLACK/ACID GREEN,"$16,499 ",1-,2-,,,,
GP1800D-YA,3,,,GP1800R HO W/AUDIO,AZURE BLUE/CYAN,"$14,999 ",1-,2-,3-,,,
GP1800D-YB,3,,,GP1800R HO W/AUDIO,BLACK/CARBON,"$14,999 ",1-,2-,3-,,,
GP1800B-YA,2,,,GP1800R HO,AZURE BLUE/CYAN,"14,199",1-,2-,,,,
GP1800B-YA,2,,,GP1800R HO,BLACK/CARBON,"$14,199 ",1-,2-,,,,
